cell-type	jsd_median	jsd_lower	jsd_upper	corr_median	corr_lower	corr_upper	cell_class	neuron_type	n.umi	ele_gini	bri_gini	elegans_genes_detected_0.05	elegans_genes_detected_0.10	elegans_genes_maybe_0.05	elegans_genes_maybe_0.10	elegans_genes_ci_detected	elegans_cell_count	briggsae_genes_detected_0.05	briggsae_genes_detected_0.10	briggsae_genes_maybe_0.05	briggsae_genes_maybe_0.10	briggsae_genes_ci_detected	briggsae_cell_count	both_genes_detected_0.05	both_genes_maybe_0.05	both_genes_ci_detected	either_genes_detected_0.05	either_genes_maybe_0.05	either_genes_ci_detected	btwn_species_deg	deg_over_expressed_0.05	deg_over_expressed_0.10	deg_over_expressed_boot	num_elegans_markers	num_briggsae_markers	num_shared_markers	num_markers_in_either_with_species_specific_included	num_elegans_markers_just_common_genes	num_briggsae_markers_ust_common_genes	num_elegans_markers_just_private_genes	num_bri_markers_just_private_genes	num_either_markers_just_common_genes
BWM_anterior2	BWM_anterior2	0.367648257995355	0.367676737563495	0.370616331739683	0.839924743375661	0.839946500781382	0.841967549557626	Muscle and mesoderm	NA	1812.41649172894	0.940936989415604	0.929606694936524	2724	1579	3026	1716	12128	9100	2233	1155	2810	1406	10153	2809	1529	1861	8071	3066	3530	10189	486	0.217644424540976	0.420779220779221	0.0478676253324141	276	289	153	412	253	259	23	30	359
BWM_middle	BWM_middle	0.367959168251748	0.366341651546473	0.369721255618543	0.843527064660313	0.842138917332584	0.844817474989873	Muscle and mesoderm	NA	1659.50390434358	0.94496576494987	0.934864108055194	2438	1458	2650	1557	12649	15102	2197	1121	2624	1284	11515	5388	1445	1673	8833	2851	3205	10624	471	0.214383249886208	0.420160570918822	0.0409031697785497	321	288	160	449	297	257	24	31	394
BWM_anterior1	BWM_anterior1	0.368581245687194	0.368653478436253	0.372652962866393	0.834564036035791	0.83459499589569	0.837347154265359	Muscle and mesoderm	NA	1826.78830730266	0.93929181777969	0.932316544108403	2756	1608	3255	1871	10276	3440	2224	1151	3138	1568	8804	1298	1535	2100	7066	3090	3807	9133	455	0.204586330935252	0.395308427454387	0.0516810540663335	273	280	143	410	250	251	23	29	358
Intestine_middle	Intestine_middle	0.369807640017349	0.363514554019119	0.377130910301717	0.841416713519753	0.834744961544544	0.847443571688595	Intestine	NA	16342.565060241	0.914317840277022	0.908192758490827	7221	6160	8013	6844	11380	690	7341	5975	10160	8034	9523	140	5413	6369	7548	7080	8725	9623	364	0.0504085306744218	0.0609205020920502	0.038223248976163	685	678	383	980	565	571	120	107	753
Intestine_anterior	Intestine_anterior	0.37064679102102	0.370724737618573	0.37781205191938	0.843199516149518	0.843277042988172	0.846904511807978	Intestine	NA	11311.7649315069	0.908135766723376	0.895760031740338	7110	5818	7829	6474	12194	1093	7657	6338	8629	7120	12288	732	5504	6092	8878	7228	7888	10555	482	0.0677918424753868	0.0828463389480921	0.0395276365425619	665	579	346	898	549	504	116	75	707
mc2a	mc2a	0.370705279846489	0.360035062801164	0.382750889173298	0.814822817425057	0.807140948139617	0.821918112275159	Pharynx	NA	5196.19062027231	0.88461017844088	0.896617130415279	5219	3648	7485	5532	7877	211	5891	4348	7154	5626	9804	450	4185	5618	6445	5785	7186	8532	426	0.0816248323433608	0.116776315789474	0.0540815031103212	284	276	131	429	262	256	22	20	387
pm1_pm2	pm1_pm2	0.373565766263693	0.367037851700841	0.381067169106054	0.826398442797938	0.822507144350573	0.830366014608246	Pharynx	NA	8775.06589383771	0.895950230859398	0.906555759722892	5919	4260	6931	5303	10847	750	6408	4750	7518	5680	11979	889	4594	5457	8447	6504	7369	10309	499	0.0843047812130427	0.117136150234742	0.0460035032727943	414	387	234	567	384	360	30	27	510
BWM_posterior2	BWM_posterior2	0.374718221679208	0.374758867031857	0.378499550433659	0.832227896814431	0.83227862116099	0.834944116257387	Muscle and mesoderm	NA	1679.75583313693	0.941036244845805	0.935826411532048	2520	1470	3062	1673	9971	3081	1996	1043	2916	1443	8362	1162	1392	1943	6808	2793	3581	8865	457	0.228957915831663	0.438159156279962	0.0546519971298732	278	275	152	401	261	244	17	31	353
M_cell	M_cell	0.374838131505953	0.370186094386541	0.37982304666439	0.828781568218059	0.826024088290824	0.831591642150775	Muscle and mesoderm	NA	2621.64041316979	0.920797836574593	0.911651719924066	4279	2639	5356	3518	8754	879	3716	2077	5164	3081	8766	670	2662	3840	6560	4646	5635	8343	443	0.119214208826695	0.213288396726047	0.0506054375142792	269	268	152	385	252	250	17	18	350
BWM_posterior1	BWM_posterior1	0.37609265576469	0.37288027754649	0.379535056449123	0.826988836013	0.824246184269771	0.829540190650075	Muscle and mesoderm	NA	1697.46415250725	0.943331341652879	0.936830990099907	2373	1422	2864	1613	10097	3582	2185	1158	3144	1534	8677	1244	1418	1901	6988	2816	3643	9004	474	0.216933638443936	0.409326424870466	0.0546271752909992	272	268	148	392	252	240	20	28	344
BWM_headrow2_out	BWM_headrow2_out	0.377493713395173	0.377550244588372	0.381342706558082	0.833732639363513	0.833772222452318	0.836821497077277	Muscle and mesoderm	NA	1975.90566037736	0.939509043915791	0.933237338147478	2850	1733	3412	1998	10083	3078	2396	1305	3475	1807	8279	950	1637	2276	6755	3235	4066	8915	513	0.214106844741235	0.393103448275862	0.0619640053146515	320	284	145	459	296	257	24	27	408
BWM_headrow2_in	BWM_headrow2_in	0.37827125189677	0.378303688849433	0.381449054575104	0.83789827814826	0.837920615344897	0.840509973197837	Muscle and mesoderm	NA	1772.60509319063	0.938157498974533	0.931366099151433	2719	1615	3195	1844	10436	3939	2234	1206	3082	1555	8962	1480	1542	2051	7185	3065	3756	9185	500	0.223813786929275	0.414593698175788	0.0557911180540058	317	290	146	461	294	265	23	25	413
BWM_headrow1_2	BWM_headrow1_2	0.379768550961472	0.374423911372295	0.384864074742723	0.791710205766171	0.785207931249935	0.79775215005943	Muscle and mesoderm	NA	6578.27838258165	0.957016235018159	0.950805088876109	3925	2716	5279	3579	7742	488	4195	2642	7764	4973	7068	155	2720	4369	5461	4738	7227	7676	424	0.108025477707006	0.160484481453444	0.0599886813808715	289	312	172	429	267	279	22	33	374
mc3	mc3	0.38051410996289	0.373778299125051	0.38906185104466	0.769924282284495	0.761914770265676	0.777701540223052	Pharynx	NA	1341.19268292683	0.904464993619058	0.911932800295403	3029	1618	6166	3827	5495	142	2479	1249	4921	2479	6118	268	1772	3981	4254	3312	5978	6149	312	0.125857200484066	0.249799839871898	0.056778889899909	280	277	155	402	260	261	20	16	366
BWM_far_posterior	BWM_far_posterior	0.380696955829762	0.380799191255133	0.386106982225929	0.833169234488023	0.833199176608275	0.836296678219187	Muscle and mesoderm	NA	1394.06688619057	0.927654209922821	0.920451680914084	2563	1416	3097	1641	10334	3446	2279	1093	3230	1486	8902	1413	1475	2007	7110	3001	3797	9086	522	0.229047827994735	0.477584629460201	0.0586385082004044	270	250	148	372	245	227	25	23	324
Intestine_far_posterior	Intestine_far_posterior	0.384901302178974	0.379819407105675	0.390709304385132	0.839008378247269	0.835151725502137	0.842113607050789	Intestine	NA	9039.87230514096	0.915470887756101	0.903870604299982	6222	4929	7202	5771	10497	673	7309	6011	8593	6924	11558	533	4912	5749	8049	6866	7739	9884	497	0.0798778527804564	0.100831811726517	0.047346861007907	593	609	325	877	490	523	103	86	688
Excretory_cell	Excretory_cell	0.397569210353516	0.392465556432734	0.403008093805046	0.809274321818639	0.804789692207159	0.813581751732958	Rectal cells	NA	3979.90486604702	0.923778470412117	0.908579232859552	4591	3088	5472	3730	10546	1369	5027	3463	6748	4734	9373	460	3442	4426	7373	5341	6529	9528	561	0.122195600087127	0.181670984455959	0.0598527685906327	378	375	211	542	351	349	27	26	489
T	T	0.402604819824878	0.396577668461515	0.409196889243149	0.764325868076499	0.756843488415222	0.771525260481088	Hypodermis and seam	NA	1362.28070175439	0.916323437662186	0.910809473900258	2986	1657	6299	3825	4997	126	2394	1192	5566	2826	4927	159	1669	4294	3551	3217	6138	5321	295	0.123224728487886	0.24748322147651	0.0598741627765374	272	176	103	345	235	156	37	20	288
Hypodermis	Hypodermis	0.403907741965987	0.403989137980697	0.412498874965175	0.813194849603984	0.813248284983447	0.816451951093113	Hypodermis and seam	NA	2554.92730085073	0.94883380144671	0.933080587710378	2452	1362	2728	1507	13269	9734	3408	1782	4412	2296	11785	1903	1715	2047	9154	3652	4491	10992	423	0.172512234910277	0.31057268722467	0.0358930844293594	436	440	258	618	386	384	50	56	512
pm6	pm6	0.407379383992522	0.395603993332454	0.421871748986437	0.772413073018526	0.763751714455396	0.781199878903536	Pharynx	NA	1716.44936708861	0.892773012074485	0.896645565392873	3701	2090	6338	4077	6775	206	2998	1517	5525	2998	6697	268	2219	4346	5020	3956	6255	6875	380	0.126751167444963	0.25049439683586	0.0567418246976258	319	278	175	422	296	258	23	20	379
BWM_headrow1_in	BWM_headrow1_in	0.407874772093619	0.404807930388744	0.410609370151067	0.818211139099998	0.815246544789295	0.820936637729201	Muscle and mesoderm	NA	2429.82463276836	0.94447722824566	0.937727578720001	2875	1792	3361	2039	10474	3570	3122	1788	4409	2461	9027	855	1924	2555	7225	3622	4591	9368	523	0.181913043478261	0.292505592841163	0.0579372992134707	374	324	156	542	351	295	23	29	490
pm3_pm4_pm5a	pm3_pm4_pm5a	0.409200690317689	0.399160991875751	0.421862793503752	0.792482021827202	0.786375611496374	0.798536147189095	Pharynx	NA	2042.12249443207	0.911803638318361	0.914205242396065	2942	1714	4588	2592	8051	506	3353	1906	5441	3168	7938	392	2058	3488	6029	3766	5612	7962	564	0.191706322229776	0.329054842473746	0.0710506424792139	425	370	225	570	395	332	30	38	502
pm3_pm4_pm5b	pm3_pm4_pm5b	0.410629950710361	0.395741590251969	0.427903141906475	0.767956210171994	0.75787245813442	0.777724988147302	Pharynx	NA	2574.15129151292	0.892028851533269	0.908802185176228	4166	2606	6605	4342	7457	219	3405	1821	5420	3285	7382	323	2442	4300	5464	4538	6529	7637	532	0.156240822320117	0.29214717188358	0.0720671904632891	358	351	177	532	338	324	20	27	485
BWM_headrow1_out	BWM_headrow1_out	0.414442914238314	0.414484933391912	0.418169985831354	0.812130850225099	0.812193366702783	0.816040914868564	Muscle and mesoderm	NA	2283.35872917952	0.943757399472361	0.934844954443747	2852	1783	3401	2047	9905	2567	2817	1602	4261	2264	8366	675	1803	2507	6770	3457	4541	8906	566	0.200922967696131	0.35330836454432	0.0676547932106144	368	326	158	536	345	295	23	31	482
BWM_posterior_late	BWM_posterior_late	0.416710869836549	0.409892670024446	0.423405203240291	0.710152188000348	0.700756340319923	0.71955502601135	Muscle and mesoderm	NA	1957.47717842324	0.963818287094682	0.957775137122781	1814	1106	2753	1505	5997	597	1770	927	6003	2512	3984	126	1038	2263	3149	2290	5662	5895	445	0.251412429378531	0.480043149946063	0.111696787148594	283	274	151	406	262	244	21	30	355
mc1	mc1	0.419898346793132	0.411191348005493	0.429968136346364	0.750483031089433	0.741620559780139	0.758238938393853	Pharynx	NA	1271.80519480519	0.903317560838104	0.914015885364506	3048	1729	6344	4015	4897	110	2149	1111	4859	2480	5330	198	1579	3920	3663	3219	6061	5539	333	0.154955793392275	0.2997299729973	0.0680008168266285	249	248	128	369	230	229	19	19	331
GLR_1	GLR_1	0.420328308661835	0.414125760065885	0.426540687394505	0.80247160395696	0.797483018593079	0.807280464878259	Muscle and mesoderm	NA	1023.69092465753	0.891492514104357	0.897417831459506	2820	1387	4360	2218	7843	642	2311	1032	3902	1864	7111	526	1568	2885	5645	3141	4628	7366	513	0.221981826049329	0.497093023255814	0.0721417522148784	152	107	55	204	133	99	19	8	177
Z1_Z4	Z1_Z4	0.423510706079691	0.413119491819538	0.432862060843769	0.736052803458283	0.725817715516693	0.745769540522515	Muscle and mesoderm	NA	1417.19212962963	0.872855522767168	0.87645447157729	3433	1724	6223	3599	7080	232	2681	1225	5628	3061	6187	200	1766	4173	4730	3800	6300	6861	445	0.165982842223051	0.363265306122449	0.0719250040407306	147	180	32	295	112	156	35	24	236
OLQ	OLQ	0.424211908230128	0.424309234847061	0.431107070414341	0.79937206725986	0.799460803786148	0.804396371933382	Ciliated neurons	SN1	1128.84377224199	0.875655332735732	0.88926211628268	3126	1741	4140	2220	10110	1489	2921	1487	3932	2049	9332	1321	1918	2693	7197	3588	4613	9227	772	0.264293050325231	0.519166106254203	0.0827261037291042	358	207	137	428	317	186	41	21	366
mc2b	mc2b	0.426279905019869	0.410040293860284	0.443851105468187	0.767600498731362	0.759181097588349	0.775467873226383	Pharynx	NA	1460.19565217391	0.899919732515741	0.904331943315356	2914	1551	5654	3088	6544	238	2835	1492	5369	2835	6657	268	1843	4005	4897	3479	5925	6782	519	0.183068783068783	0.347855227882038	0.0793092909535452	379	355	174	560	356	321	23	34	503
GLR_2	GLR_2	0.426593082914359	0.420989766523546	0.432500016627408	0.799089099629557	0.794149297312767	0.803277340192861	Muscle and mesoderm	NA	927.331278890601	0.89879141575534	0.903732797098996	2481	1245	4006	2036	7242	580	2153	1024	3416	1640	7276	718	1398	2477	5492	2859	4295	7147	556	0.258244310264747	0.54296875	0.0767743717205192	174	133	53	254	153	119	21	14	219
g1P	g1P	0.429875889631178	0.418290793785907	0.441748225131954	0.714781708029005	0.703463031289102	0.725693605549076	Pharynx	NA	2383.04973357016	0.946943240094413	0.944956482335101	2129	1098	4081	2060	7051	347	2323	1140	5570	2631	6117	216	1261	3049	4560	2811	5656	7125	495	0.232503522780648	0.450819672131148	0.0809220205983325	181	171	81	271	150	147	31	24	216
DB	DB	0.43289487437504	0.427953071272988	0.437781701048473	0.797413988531802	0.792956443359216	0.801695238286654	Non-ciliated neurons	NA	1040.06060606061	0.886926047729048	0.894095494135627	2821	1521	3963	2184	8476	844	2337	1113	3770	1788	7747	674	1588	2622	6069	3139	4396	7991	618	0.264441591784339	0.555256064690027	0.0797728152833355	303	244	126	421	280	219	23	25	373
g1A	g1A	0.436639009984211	0.418416450836505	0.457332077617651	0.771243845382467	0.762315860772968	0.778928012471847	Pharynx	NA	1941.4476861167	0.942998409009761	0.933254027466774	2025	978	3582	1642	7910	572	2310	1157	4098	2045	7105	422	1258	2483	5536	2732	4535	7632	483	0.238518518518519	0.493865030674847	0.0679802955665025	154	175	86	243	133	154	21	21	201
BAG	BAG	0.438064487450052	0.432005635122183	0.444394039747364	0.755979197607889	0.748466625151447	0.762939625554558	Ciliated neurons	SN4	1471.00624349636	0.86093031809537	0.878106006793587	3858	2220	5639	3361	9282	525	2828	1348	4941	2505	8069	436	2006	3591	6373	4103	5946	8654	680	0.24045261669024	0.504451038575668	0.0842731441318627	482	358	216	624	441	319	41	39	544
IL2	IL2	0.439298451352972	0.433812910945968	0.445507372867648	0.763237367572362	0.757706441140779	0.768624658788806	Ciliated neurons	SN1	1152.8293395675	0.874955444560101	0.890059357644077	3023	1685	4056	2241	9879	1173	2467	1203	4270	2057	7911	538	1607	2696	6421	3428	4869	8912	786	0.31860559383867	0.653366583541147	0.09935532802427	480	320	211	589	441	284	39	36	514
Seam_cells	Seam_cells	0.439969986841511	0.433295538680164	0.447060937338076	0.832613782266192	0.830545750831608	0.834465228089799	Hypodermis and seam	NA	3555.64073685215	0.943825832305947	0.936770297455382	3599	2110	3988	2324	13152	7295	4083	2325	4777	2769	12528	3182	2524	2925	9333	4515	5070	11029	404	0.112253403723256	0.191469194312796	0.0322477650063857	382	394	227	549	331	335	51	59	439
Pharyngeal_intestinal_valve	Pharyngeal_intestinal_valve	0.441149333467178	0.42895987869388	0.455458888932066	0.754318659492977	0.746018267297531	0.761459922736274	Pharynx	NA	2040.43946188341	0.899959984250927	0.900416065658533	3522	2066	5230	3024	9254	561	2954	1552	5293	2832	7572	331	2032	3660	6088	3936	5843	8528	590	0.199729180771835	0.380154639175258	0.077918647649234	425	370	214	581	391	341	34	29	518
Anterior_arcade_cell	Anterior_arcade_cell	0.442323531707476	0.433157162127205	0.453297353015428	0.680377394046459	0.669332993228476	0.689859379804567	Pharynx	NA	1180.41343963554	0.932623888531793	0.934102648536964	1774	909	2778	1389	7713	700	1407	621	4810	1929	4797	178	846	2049	3904	2080	4857	7233	453	0.321961620469083	0.729468599033816	0.0944340212632895	330	239	136	433	300	212	30	27	376
ASH	ASH	0.443736841984919	0.437648814966348	0.450372539806381	0.749293922503914	0.744196539700231	0.754860954048843	Ciliated neurons	SN5	1100.76699770817	0.876522983570339	0.884744439107635	3145	1809	4441	2541	8820	737	2476	1199	4095	2029	7853	572	1600	2742	6013	3466	4887	8302	801	0.323505654281099	0.668056713928274	0.101999235960779	588	402	217	773	501	335	87	67	619
DA	DA	0.444333351658709	0.444383930435382	0.450982764485584	0.797576156339001	0.797639349103784	0.802970979442122	Non-ciliated neurons	NA	1124.31852599697	0.883986203431505	0.893924410670706	2872	1572	3919	2085	9234	1241	2718	1388	4103	2123	8044	740	1742	2687	6380	3356	4579	8462	708	0.260485651214128	0.510086455331412	0.0880159124813526	351	230	125	456	323	202	28	28	400
RIS	RIS	0.445475195023634	0.437689749455074	0.456782455702232	0.698843555165933	0.689326817639151	0.709083179953157	Non-ciliated neurons	IN3	954.311444652908	0.896825574713603	0.90450864703314	2241	1226	4112	2076	6595	368	1681	811	4638	2237	4625	165	1051	2833	3690	2584	5066	6342	484	0.287923854848305	0.596794081381011	0.104648648648649	375	266	143	498	351	239	24	27	447
Coelomocytes	Coelomocytes	0.447315415592137	0.447403387188919	0.452216069747189	0.805084942300771	0.805114037866049	0.807961080018037	Muscle and mesoderm	NA	1174.06019321278	0.913203236426853	0.911691249562864	2582	1358	3322	1685	10221	2442	2211	995	3038	1363	9116	1595	1398	1973	7089	3008	3852	9152	565	0.255540479421076	0.5678391959799	0.0619789381307591	249	214	87	376	205	187	44	27	305
mu_int_mu_anal	mu_int_mu_anal	0.447334110647397	0.441536855753882	0.452790472962504	0.758715807875291	0.753891239993078	0.763702149582191	Muscle and mesoderm	NA	1173.24202733485	0.932833446917243	0.925515604275915	1966	1158	2811	1508	8211	1097	1870	952	3118	1461	7644	659	1086	1783	5837	2431	3644	7972	606	0.324064171122995	0.636554621848739	0.0792778649921507	318	267	145	440	292	233	26	34	380
AVK	AVK	0.448151318950138	0.442329890508014	0.454340055776329	0.764002336569999	0.758984689093265	0.769319671766644	Non-ciliated neurons	IN2	988.453573814295	0.900642513799653	0.904563021222316	2385	1340	3267	1755	8720	1077	1889	876	3597	1629	6785	420	1219	2170	5558	2749	4133	8036	699	0.370037056643727	0.797945205479452	0.103021370670597	375	233	139	469	356	210	19	23	427
URX	URX	0.449151031979337	0.44935269722273	0.459651096674932	0.761901241108285	0.761985843435582	0.768436869663178	Ciliated neurons	SN4	1163.12883051907	0.878661709604557	0.888395285324577	3124	1747	4334	2374	9601	1042	2541	1238	4168	2074	7678	557	1671	2777	6204	3504	4905	8633	843	0.331759149940968	0.680936995153473	0.109794217244074	391	233	145	479	358	207	33	26	420
CEPso	CEPso	0.450178560386528	0.450296244930809	0.459109063977013	0.736278527277792	0.736316752763461	0.74377997662864	Glia and excretory	NA	890.632690541781	0.898481933742914	0.901520041961589	1950	1025	3052	1478	8149	754	1967	827	4230	1877	6539	335	1086	2170	5243	2525	4450	7614	584	0.29948717948718	0.706166868198307	0.0893102920935923	399	233	157	475	367	221	32	12	431
RIC	RIC	0.450330449193796	0.444457353244512	0.456861254346294	0.781611594569207	0.775962055738554	0.786358577852154	Non-ciliated neurons	IN2	1071.72627235213	0.873572028353919	0.889518702069154	3126	1709	4401	2457	8540	805	2656	1261	4060	2080	7887	649	1784	2874	6160	3491	4798	8076	764	0.287650602409639	0.605868358445678	0.096868264232281	299	154	64	389	271	135	28	19	342
ASE	ASE	0.452123389931006	0.446520541825311	0.457920268458724	0.765688310624876	0.760532519010963	0.770576301459913	Ciliated neurons	SN6	1452.81500781657	0.870979688859279	0.883336803354496	3856	2276	4936	2969	10379	1209	2972	1536	4484	2340	8648	710	2032	3110	6825	4151	5329	9202	915	0.307873485868102	0.595703125	0.105804810360777	608	380	209	779	533	316	75	64	640
AMsh	AMsh	0.456156548252941	0.451304960515695	0.461319011982472	0.799212981108062	0.796140314242457	0.802573006464732	Glia and excretory	NA	2138.81416633506	0.920862918442594	0.907949089169392	3595	2131	4374	2661	10171	1696	3082	1601	4468	2378	8884	817	2065	2992	6980	4044	5021	9126	680	0.220635950681376	0.42473454091193	0.0765420981539847	446	348	156	638	385	294	61	54	523
AWA	AWA	0.457940546825925	0.451759726241358	0.465449886771688	0.746069558191564	0.739614554892708	0.75246617101553	Ciliated neurons	SN6	981.880373831776	0.865177960484516	0.886018731258446	2949	1603	4483	2380	8667	645	1938	879	3784	1734	6979	425	1287	2635	5526	3107	4752	7981	639	0.329721362229102	0.726962457337884	0.0915603954721307	460	308	151	617	394	240	66	68	483
hyp1_hyp2	hyp1_hyp2	0.45806512376138	0.458303846324007	0.473388744265982	0.715309119893614	0.715414293521417	0.723958008230981	Hypodermis and seam	NA	1207.51179245283	0.939387749508455	0.930206162876061	1690	897	2519	1268	8350	924	1484	627	3423	1352	6359	348	835	1665	5081	2095	3797	7855	520	0.350404312668464	0.829346092503987	0.0817738638150653	316	226	138	404	295	211	21	15	368
hmc_and_hmc_homolog	hmc_and_hmc_homolog	0.458484976170168	0.453167960711987	0.463913252474874	0.765361526801524	0.759760927525637	0.770494686943664	Muscle and mesoderm	NA	979.493129770992	0.899463728340493	0.889167612005394	2671	1434	4620	2552	6288	306	2106	1003	4022	1935	6301	349	1346	2909	4615	2994	4867	6423	571	0.271130104463438	0.569292123629113	0.0908078880407125	288	157	53	392	251	133	37	24	331
OLL	OLL	0.458502140993251	0.450444715015778	0.466820788312343	0.766771320924637	0.760470752518924	0.773366445806021	Ciliated neurons	SN1	1015.60079840319	0.876121175385606	0.887012907286817	2894	1638	4160	2265	8913	885	2524	1234	3972	2050	7526	618	1607	2666	6032	3344	4709	8203	889	0.352218700475436	0.720421393841167	0.118123837363805	463	224	134	553	423	196	40	28	485
Rectal_gland	Rectal_gland	0.46080677830856	0.447390209137533	0.476114248567115	0.745497187803939	0.739301765044014	0.752281112286345	Rectal cells	NA	3073.21291696238	0.898275034451899	0.890691704384608	4730	2972	6098	3919	10810	900	3585	1726	5688	2973	9019	509	2522	4032	7110	4975	6458	9594	726	0.202510460251046	0.420625724217845	0.0804967291273977	358	276	116	518	308	241	50	35	433
ALM_PLM	ALM_PLM	0.461603160274258	0.453129885628915	0.470439668990621	0.721732688472363	0.715220340237204	0.728958083336773	Non-ciliated neurons	NA	994.260089686099	0.90998532617516	0.910223361808107	2073	1127	3199	1636	8054	767	1719	776	3634	1582	6238	348	999	2045	4985	2524	4212	7668	714	0.415357766143106	0.920103092783505	0.114459762744469	318	213	104	427	297	187	21	26	380
